INDEX,YEAR,MN,DT,RF,week
42933,2016,5,12,0.0,19
42933,2016,5,13,1.1,20
42933,2016,5,14,0.0,20
42933,2016,5,15,0.0,20
42933,2016,5,16,0.0,20
42933,2016,5,17,0.0,20
42933,2016,5,18,0.0,20
42933,2016,5,19,0.0,20
42933,2016,5,20,0.2,21
42933,2016,5,21,0.0,21
42933,2016,5,22,0.0,21
42933,2016,5,23,0.0,21
42933,2016,5,24,0.0,21
42933,2016,5,25,0.0,21
42933,2016,5,26,0.0,21
42933,2016,5,27,0.0,22
42933,2016,5,28,0.0,22
42933,2016,5,29,0.0,22
42933,2016,5,30,0.0,22
42933,2016,5,31,0.0,22
42933,2016,6,1,0.0,22
42933,2016,6,2,0.0,22
42933,2016,6,3,0.0,23
42933,2016,6,4,0.6,23
42933,2016,6,5,0.0,23
42933,2016,6,6,1.6,23
42933,2016,6,7,23.9,23
42933,2016,6,8,0.0,23
42933,2016,6,9,4.0,23
42933,2016,6,10,0.0,24
42933,2016,6,11,0.0,24
42933,2016,6,12,0.0,24
42933,2016,6,13,0.0,24
42933,2016,6,14,0.0,24
42933,2016,6,15,0.0,24
42933,2016,6,16,0.0,24
42933,2016,6,17,0.0,25
42933,2016,6,18,6.7,25
42933,2016,6,19,1.7,25
42933,2016,6,20,41.2,25
42933,2016,6,21,3.8,25
42933,2016,6,22,31.6,25
42933,2016,6,23,76.0,25
42933,2016,6,24,0.0,26
42933,2016,6,25,4.6,26
42933,2016,6,26,0.0,26
42933,2016,6,27,2.3,26
42933,2016,6,28,1.2,26
42933,2016,6,29,2.0,26
42933,2016,6,30,24.4,26
42933,2016,7,1,0.0,27
42933,2016,7,2,0.0,27
42933,2016,7,3,12.9,27
42933,2016,7,4,20.9,27
42933,2016,7,5,15.2,27
42933,2016,7,6,0.2,27
42933,2016,7,7,0.0,27
42933,2016,7,8,0.0,28
42933,2016,7,9,13.4,28
42933,2016,7,10,12.6,28
42933,2016,7,11,84.3,28
42933,2016,7,12,64.7,28
42933,2016,7,13,4.8,28
42933,2016,7,14,0.2,28
42933,2016,7,15,0.8,29
42933,2016,7,16,0.0,29
42933,2016,7,17,1.6,29
42933,2016,7,18,0.0,29
